currentLevel	requiedExp	costDreamShards
1	81 	14
2	107 	18
3	162 	22
4	192 	27
5	246 	30
6	303 	34
7	366 	39
8	411 	44
9	472 	48
10	518 	50
11	564 	52
12	610 	53
13	629 	56
14	643 	59
15	660 	62
16	681 	66
17	704 	68
18	724 	71
19	746 	74
20	772 	78
21	806 	81
22	837 	85
23	868 	88
24	900 	92
25	933 	95
26	965 	100
27	997 	105
28	1029 	111
29	1062 	117
30	1094 	122
31	1122 	126
32	1149 	130
33	1177 	136
34	1205 	143
35	1231 	151
36	1259 	160
37	1285 	167
38	1313 	174
39	1339 	184
40	1365 	192
41	1392 	201
42	1418 	211
43	1444 	221
44	1470 	227
45	1496 	236
46	1522 	250
47	1548 	264
48	1574 	279
49	1599 	295
50	2042 	309
51	2344 	323
52	2620 	338
53	2919 	356
54	3293 	372
55	3419 	391
56	3605 	437
57	3799 	486
58	4000 	538
59	4209 	593
